It: 30600, Loss: 6.129e+01, l1: 0.905, l2: 0.01206, Time: 5.97
It: 30700, Loss: 6.128e+01, l1: 0.905, l2: 0.01206, Time: 7.67
It: 30800, Loss: 6.127e+01, l1: 0.905, l2: 0.01206, Time: 8.58
It: 30900, Loss: 6.125e+01, l1: 0.905, l2: 0.01206, Time: 7.74
It: 31000, Loss: 6.124e+01, l1: 0.905, l2: 0.01206, Time: 6.68
It: 31100, Loss: 6.123e+01, l1: 0.905, l2: 0.01206, Time: 6.68
It: 31200, Loss: 6.122e+01, l1: 0.905, l2: 0.01206, Time: 6.87
It: 31300, Loss: 6.121e+01, l1: 0.905, l2: 0.01206, Time: 6.96
It: 31400, Loss: 6.120e+01, l1: 0.905, l2: 0.01196, Time: 6.02
It: 31500, Loss: 6.118e+01, l1: 0.905, l2: 0.01205, Time: 6.02
It: 31600, Loss: 6.117e+01, l1: 0.905, l2: 0.01198, Time: 7.19
It: 31700, Loss: 6.116e+01, l1: 0.905, l2: 0.01204, Time: 6.40
It: 31800, Loss: 6.115e+01, l1: 0.905, l2: 0.01204, Time: 7.40
It: 31900, Loss: 6.113e+01, l1: 0.905, l2: 0.01205, Time: 6.79
It: 32000, Loss: 6.112e+01, l1: 0.905, l2: 0.01206, Time: 7.17
It: 32100, Loss: 6.111e+01, l1: 0.905, l2: 0.01205, Time: 7.25
It: 32200, Loss: 6.110e+01, l1: 0.905, l2: 0.01204, Time: 6.84
It: 32300, Loss: 6.108e+01, l1: 0.905, l2: 0.01205, Time: 6.48
It: 32400, Loss: 6.107e+01, l1: 0.905, l2: 0.01205, Time: 7.85
