It: 27400, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 9.19
It: 27500, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.82
It: 27600, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 9.17
It: 27700, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.90
It: 27800, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.71
It: 27900, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.88
It: 28000, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.89
It: 28100, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 9.00
It: 28200, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.95
It: 28300, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.85
It: 28400, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.93
It: 28500, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.67
It: 28600, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.42
It: 28700, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 9.00
It: 28800, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 9.01
It: 28900, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.99
It: 29000, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.99
It: 29100, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 9.07
It: 29200, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.72
It: 29300, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 9.04
It: 29400, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 9.08
