torch.Size([1000000, 3]) torch.Size([1000000, 1]) torch.Size([1000000, 1])
It: 18100, Loss: 1.863e-02, lamd1: 0.863, lamd2: 0.01091, Time: 42.34
It: 18200, Loss: 1.903e-02, lamd1: 0.865, lamd2: 0.01038, Time: 41.47
It: 18300, Loss: 1.851e-02, lamd1: 0.868, lamd2: 0.01028, Time: 41.95
It: 18400, Loss: 1.733e-02, lamd1: 0.867, lamd2: 0.01032, Time: 42.35
It: 18500, Loss: 1.683e-02, lamd1: 0.872, lamd2: 0.01012, Time: 42.04
It: 18600, Loss: 1.645e-02, lamd1: 0.875, lamd2: 0.01018, Time: 42.20
It: 18700, Loss: 1.643e-02, lamd1: 0.877, lamd2: 0.01003, Time: 42.12
It: 18800, Loss: 1.621e-02, lamd1: 0.879, lamd2: 0.00975, Time: 42.33
It: 18900, Loss: 1.602e-02, lamd1: 0.880, lamd2: 0.00979, Time: 42.16
It: 19000, Loss: 1.578e-02, lamd1: 0.881, lamd2: 0.00965, Time: 42.24
It: 19100, Loss: 1.580e-02, lamd1: 0.880, lamd2: 0.00979, Time: 42.33
It: 19200, Loss: 1.518e-02, lamd1: 0.884, lamd2: 0.00957, Time: 42.50
It: 19300, Loss: 1.510e-02, lamd1: 0.885, lamd2: 0.00952, Time: 42.56
It: 19400, Loss: 1.511e-02, lamd1: 0.885, lamd2: 0.00959, Time: 42.53
It: 19500, Loss: 1.493e-02, lamd1: 0.883, lamd2: 0.00964, Time: 42.32
It: 19600, Loss: 1.515e-02, lamd1: 0.888, lamd2: 0.00956, Time: 42.32
It: 19700, Loss: 1.471e-02, lamd1: 0.888, lamd2: 0.00941, Time: 42.18
It: 19800, Loss: 1.571e-02, lamd1: 0.886, lamd2: 0.00992, Time: 42.42
It: 19900, Loss: 1.440e-02, lamd1: 0.889, lamd2: 0.00961, Time: 42.29
It: 20000, Loss: 1.525e-02, lamd1: 0.889, lamd2: 0.00959, Time: 41.04
It: 20100, Loss: 1.410e-02, lamd1: 0.892, lamd2: 0.00970, Time: 40.85
It: 20200, Loss: 1.402e-02, lamd1: 0.893, lamd2: 0.00978, Time: 41.72
It: 20300, Loss: 1.394e-02, lamd1: 0.894, lamd2: 0.00991, Time: 42.07
It: 20400, Loss: 1.384e-02, lamd1: 0.894, lamd2: 0.01011, Time: 42.11
It: 20500, Loss: 1.372e-02, lamd1: 0.895, lamd2: 0.01043, Time: 42.26
It: 20600, Loss: 1.356e-02, lamd1: 0.897, lamd2: 0.01087, Time: 42.04
It: 20700, Loss: 1.337e-02, lamd1: 0.899, lamd2: 0.01146, Time: 42.00
It: 20800, Loss: 1.319e-02, lamd1: 0.901, lamd2: 0.01198, Time: 41.94
It: 20900, Loss: 1.303e-02, lamd1: 0.902, lamd2: 0.01228, Time: 42.39
It: 21000, Loss: 1.295e-02, lamd1: 0.903, lamd2: 0.01244, Time: 42.50
It: 21100, Loss: 1.359e-02, lamd1: 0.904, lamd2: 0.01244, Time: 42.43
It: 21200, Loss: 1.253e-02, lamd1: 0.906, lamd2: 0.01245, Time: 42.35
It: 21300, Loss: 1.241e-02, lamd1: 0.907, lamd2: 0.01248, Time: 42.14
It: 21400, Loss: 1.239e-02, lamd1: 0.908, lamd2: 0.01245, Time: 42.15
It: 21500, Loss: 1.204e-02, lamd1: 0.909, lamd2: 0.01250, Time: 42.18
It: 21600, Loss: 1.188e-02, lamd1: 0.911, lamd2: 0.01239, Time: 42.26
It: 21700, Loss: 1.176e-02, lamd1: 0.911, lamd2: 0.01239, Time: 42.49
It: 21800, Loss: 1.141e-02, lamd1: 0.914, lamd2: 0.01218, Time: 42.45
It: 21900, Loss: 1.118e-02, lamd1: 0.915, lamd2: 0.01214, Time: 42.54
It: 22000, Loss: 1.079e-02, lamd1: 0.917, lamd2: 0.01218, Time: 42.46
It: 22100, Loss: 1.047e-02, lamd1: 0.917, lamd2: 0.01230, Time: 42.52
It: 22200, Loss: 1.006e-02, lamd1: 0.922, lamd2: 0.01268, Time: 42.41
It: 22300, Loss: 9.811e-03, lamd1: 0.928, lamd2: 0.01300, Time: 42.37
It: 22400, Loss: 9.235e-03, lamd1: 0.931, lamd2: 0.01334, Time: 42.26
It: 22500, Loss: 9.024e-03, lamd1: 0.934, lamd2: 0.01341, Time: 42.23
It: 22600, Loss: 8.714e-03, lamd1: 0.936, lamd2: 0.01366, Time: 42.21
It: 22700, Loss: 8.461e-03, lamd1: 0.938, lamd2: 0.01357, Time: 41.97
